ptl_idx,pre_spk_num,pre_spk_freq,post_spk_num,post_spk_freq,ptl_occ,ptl_freq,dt1,dt2,dt3,dw_mean,dw_ste,train_len
3,2,0,2,0,60,1,5,112.3534155,-5,2.657795373,0,60
3,2,0,2,0,60,1,5,-12.96244362,-5,46.95061769,0,60
3,2,0,2,0,60,1,5,20.2257955,-5,44.42762807,0,60
3,2,0,2,0,60,1,5,9.176403769,-5,43.04641287,0,60
3,2,0,2,0,60,1,5,-22.80873959,-5,5.374267655,0,60
3,2,0,2,0,60,1,5,-17.36947413,-5,-19.71950547,0,60
3,2,0,2,0,60,1,5,9.189365623,-5,40.88956029,0,60
3,2,0,2,0,60,1,5,-11.80648187,-5,14.59858315,0,60
4,2,0,1,0,60,1,-15,5,0,0.246154268,3.354050419,60
4,2,0,1,0,60,1,-5,15,0,23.1542057,4.891499982,60
4,1,0,2,0,60,1,5,-15,0,20.72283676,7.546789897,60
4,1,0,2,0,60,1,15,-5,0,28.11858146,4.751571427,60
5,1,0,1,0,50,0.1,10,0,0,96.96544555,4.137913548,500
5,5,10,5,10,15,0.1,10,0,0,115.7246631,9.195363441,150
5,5,20,5,20,15,0.1,10,0,0,131.2655034,12.87350882,150
5,5,40,5,40,15,0.1,10,0,0,154.1609442,10.11489978,150
5,5,50,5,50,15,0.1,10,0,0,156.3685076,25.74701763,150
6,1,0,1,0,50,0.1,-10,0,0,71.68354452,7.390235825,500
6,5,10,5,10,15,0.1,-10,0,0,61.2465794,10.16157426,150
6,5,20,5,20,15,0.1,-10,0,0,68.82157112,8.312272323,150
6,5,40,5,40,15,0.1,-10,0,0,153.994039,28.63716382,150
6,5,50,5,50,15,0.1,-10,0,0,171.2704582,18.93573632,150
7,5,20,5,20,15,0.1,-25,0,0,70.12195122,7.317073171,150
7,5,20,5,20,15,0.1,-10,0,0,64.02439024,10.06097561,150
7,5,20,5,20,15,0.1,0,0,0,74.3902439,10.97560976,150
7,5,20,5,20,15,0.1,10,0,0,128.6585366,14.93902439,150
7,5,20,5,20,15,0.1,25,0,0,62.5,20.42682927,150
7,5,50,5,50,15,0.1,-10,0,0,163.2086459,17.11409396,150
7,5,50,5,50,15,0.1,0,0,0,91.45331623,5.033557047,150
7,5,50,5,50,15,0.1,10,0,0,152.5829056,14.76559416,150
7,1,0,1,0,50,0.1,-10,0,0,90.48121914,14.46994229,500
7,1,0,1,0,50,0.1,0,0,0,75.60896537,10.62238839,500
7,1,0,1,0,50,0.1,10,0,0,92.60539348,4.578615684,500
7,1,0,1,0,50,0.1,25,0,0,124.5446031,6.776351213,500
8,1,0,1,0,50,0.1,0,0,0,90.48121914,14.46994229,500
8,5,20,5,20,15,0.1,0,0,0,75.60896537,10.62238839,150
8,5,40,5,40,15,0.1,0,0,0,92.60539348,4.578615684,150
8,5,80,5,80,15,0.1,0,0,0,124.5446031,6.776351213,150
